Bowler,Wickets,Runs_Given,Deliveries,Economy,Matches
YS Chahal,213,4681,3628,7.74,159
DJ Bravo,207,4436,3296,8.08,158
PP Chawla,201,5179,3895,7.98,191
SP Narine,200,4672,4146,6.76,175
R Ashwin,198,5435,4679,6.97,208
B Kumar,195,5051,4060,7.46,176
SL Malinga,188,3486,2974,7.03,122
A Mishra,183,4193,3444,7.3,162
JJ Bumrah,182,3840,3185,7.23,133
RA Jadeja,169,4917,3895,7.57,211
UT Yadav,163,4442,3190,8.35,147
Harbhajan Singh,161,4101,3496,7.04,160
Rashid Khan,157,3340,2901,6.91,121
Sandeep Sharma,153,3758,2925,7.71,126
HV Patel,151,3215,2284,8.45,103
MM Sharma,147,3278,2308,8.52,111
Mohammed Shami,144,3486,2521,8.3,110
AR Patel,131,3824,3152,7.28,148
TA Boult,128,3286,2428,8.12,103
R Vinay Kumar,127,3041,2186,8.35,104
K Rabada,126,2652,1907,8.34,80
AD Russell,125,2691,1771,9.12,112
A Nehra,121,2537,1974,7.71,88
Z Khan,119,2860,2276,7.54,99
JD Unadkat,109,3219,2194,8.8,104
CH Morris,107,2377,1801,7.92,81
SR Watson,107,2742,2137,7.7,105
DW Steyn,105,2583,2282,6.79,95
P Kumar,102,3342,2637,7.6,119
RP Singh,100,2417,1874,7.74,82
SN Thakur,100,2908,1979,8.82,92
IK Pathan,99,2711,2113,7.7,101
PP Ojha,99,2399,1945,7.4,90
Mohammed Siraj,96,2894,2081,8.34,93
JA Morkel,96,2409,1807,8.0,87
I Sharma,96,3255,2429,8.04,110
DS Kulkarni,91,2513,1876,8.04,92
Kuldeep Yadav,90,2413,1786,8.11,82
M Morkel,88,2136,1699,7.54,70
Imran Tahir,86,1729,1340,7.74,59
L Balaji,85,2083,1574,7.94,73
CV Varun,85,2042,1624,7.54,70
Arshdeep Singh,84,2097,1453,8.66,65
KV Sharma,82,2130,1520,8.41,82
R Bhatia,82,2059,1661,7.44,91
AB Dinda,82,2103,1589,7.94,75
MM Patel,82,1733,1382,7.52,63
KA Pollard,81,2200,1586,8.32,107
Avesh Khan,81,2010,1390,8.68,62
KH Pandya,80,2644,2183,7.27,117
DL Chahar,79,2243,1746,7.71,81
KK Ahmed,78,1918,1345,8.56,57
RD Chahar,76,2165,1697,7.65,77
JP Faulkner,76,1849,1287,8.62,60
T Natarajan,76,2001,1401,8.57,61
MJ McClenaghan,75,1839,1346,8.2,56
JH Kallis,74,2348,1799,7.83,89
SK Trivedi,73,1944,1557,7.49,75
Shakib Al Hasan,71,1864,1515,7.38,70
Mustafizur Rahman,70,1792,1353,7.95,57
HH Pandya,70,2196,1485,8.87,93
Ravi Bishnoi,68,1861,1460,7.65,65
M Muralitharan,67,1765,1581,6.7,66
PJ Cummins,66,1976,1370,8.65,58
MG Johnson,66,1740,1301,8.02,54
S Kaul,63,1772,1238,8.59,55
SM Curran,62,1924,1234,9.35,58
A Nortje,62,1614,1097,8.83,46
SK Warne,60,1465,1223,7.19,54
JO Holder,59,1489,1049,8.52,46
MA Starc,59,1175,879,8.02,39
LH Ferguson,57,1451,1002,8.69,45
TG Southee,57,1774,1262,8.43,54
S Nadeem,54,1800,1444,7.48,70
M Prasidh Krishna,54,1741,1231,8.49,51
S Gopal,53,1358,1000,8.15,51
NM Coulter-Nile,52,1125,892,7.57,38
SB Jakati,50,1474,1101,8.03,57
JC Archer,49,1210,987,7.36,40
A Kumble,49,1089,983,6.65,42
S Aravind,48,1057,788,8.05,38
AJ Tye,48,1005,714,8.45,30
RJ Harris,47,1085,865,7.53,37
YK Pathan,46,1443,1184,7.31,82
TU Deshpande,46,1275,831,9.21,36
VR Aaron,46,1527,1065,8.6,50
MC Henriques,46,1302,979,7.98,60
MP Stoinis,45,1300,831,9.39,62
Iqbal Abdulla,45,1125,943,7.16,48
PJ Sangwan,44,1267,905,8.4,42
P Awana,43,1046,774,8.11,33
S Sreesanth,43,1221,947,7.74,44
DE Bollinger,43,716,600,7.16,27
R Sharma,42,1100,935,7.06,44
GJ Maxwell,41,1311,965,8.15,79
WD Parnell,40,968,758,7.66,33
DT Christian,40,1218,922,7.93,49
MM Ali,40,900,770,7.01,52
Yuvraj Singh,39,1091,882,7.42,73
M Kartik,39,1418,1182,7.2,55
MS Gony,39,1317,925,8.54,44
Washington Sundar,39,1335,1064,7.53,58
P Negi,38,954,733,7.81,42
DP Nannes,38,815,689,7.1,29
M Pathirana,38,617,503,7.36,20
M Markande,37,1081,737,8.8,37
MR Marsh,37,803,593,8.12,34
NLTC Perera,37,1031,715,8.65,36
R Tewatia,36,1117,866,7.74,52
CJ Jordan,36,1111,717,9.3,34
JR Hazlewood,36,830,622,8.01,27
PWH de Silva,36,758,557,8.17,26
KK Cooper,36,789,600,7.89,25
M Ashwin,35,1182,898,7.9,44
DL Vettori,34,894,785,6.83,34
MF Maharoof,33,532,441,7.24,20
AB Agarkar,33,1174,820,8.59,42
Shivam Mavi,33,958,687,8.37,32
Umran Malik,31,785,519,9.08,26
Mukesh Kumar,31,707,420,10.1,20
A Singh,31,639,486,7.89,23
