Team,Matches,Runs_Per_Match,Avg_Runs_Per_Delivery,Total_Wickets_Lost
Royal Challengers Bengaluru,15,195.33,1.6116611661166116,99
Gujarat Titans,45,172.38,1.4119038951583545,247
Lucknow Super Giants,44,170.68,1.3907407407407408,276
Punjab Kings,56,170.29,1.3955802722084003,371
Delhi Capitals,91,163.74,1.361227845788416,570
Chennai Super Kings,237,162.99,1.3482600956336603,1245
Gujarat Lions,30,162.07,1.363432417274257,188
Mumbai Indians,261,161.59,1.3416038426058465,1573
Sunrisers Hyderabad,182,159.73,1.3309069267042073,1058
Kings XI Punjab,190,158.23,1.327563366598958,1158
Rajasthan Royals,220,157.94,1.324098772959378,1312
Royal Challengers Bangalore,240,157.05,1.3363588016309165,1384
Kolkata Knight Riders,251,156.7,1.3326218066002575,1491
Rising Pune Supergiant,16,154.38,1.3,90
Deccan Chargers,75,152.84,1.268873145893292,484
Delhi Daredevils,161,150.91,1.293303523900777,952
Rising Pune Supergiants,14,147.36,1.3056962025316456,68
Pune Warriors,45,141.29,1.1681058239941209,298
Kochi Tuskers Kerala,14,135.79,1.2016434892541088,86
