Team,Venue,Total_Runs,Avg_Runs_Per_Delivery,Matches
Punjab Kings,"Eden Gardens, Kolkata",441,1.822314049586777,2
Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",438,1.7661290322580645,2
Mumbai Indians,Holkar Cricket Stadium,375,1.7523364485981308,2
Rajasthan Royals,M.Chinnaswamy Stadium,258,1.7432432432432432,2
Sunrisers Hyderabad,"Eden Gardens, Kolkata",432,1.728,2
Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",378,1.7027027027027026,2
Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",386,1.6782608695652175,2
Rajasthan Royals,"Eden Gardens, Kolkata",563,1.6607669616519174,3
Chennai Super Kings,"Arun Jaitley Stadium, Delhi",614,1.6549865229110512,3
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",417,1.6547619047619047,2
Mumbai Indians,"Arun Jaitley Stadium, Delhi",811,1.6517311608961303,4
Delhi Capitals,"Brabourne Stadium, Mumbai",720,1.643835616438356,4
Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",545,1.607669616519174,3
Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,393,1.6040816326530611,2
Gujarat Titans,"Arun Jaitley Stadium, Delhi",383,1.602510460251046,2
Gujarat Lions,Eden Gardens,352,1.6,2
Rajasthan Royals,Brabourne Stadium,790,1.595959595959596,4
Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1332,1.5894988066825775,7
Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",403,1.5866141732283465,2
Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",799,1.5821782178217823,4
Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",1341,1.5813679245283019,7
Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",387,1.579591836734694,2
Gujarat Titans,"Eden Gardens, Kolkata",371,1.578723404255319,2
Kolkata Knight Riders,"Eden Gardens, Kolkata",2670,1.5705882352941176,14
Kolkata Knight Riders,M.Chinnaswamy Stadium,382,1.5655737704918034,2
Kochi Tuskers Kerala,Holkar Cricket Stadium,276,1.5593220338983051,2
Rajasthan Royals,"Arun Jaitley Stadium, Delhi",592,1.5456919060052219,3
Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",394,1.5450980392156863,2
Kings XI Punjab,Sharjah Cricket Stadium,936,1.542009884678748,5
Sunrisers Hyderabad,M.Chinnaswamy Stadium,379,1.5406504065040652,2
Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",354,1.5391304347826087,2
Deccan Chargers,Himachal Pradesh Cricket Association Stadium,376,1.5346938775510204,2
Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",701,1.5305676855895196,4
Mumbai Indians,"Wankhede Stadium, Mumbai",3221,1.5193396226415095,18
Delhi Capitals,"Arun Jaitley Stadium, Delhi",2228,1.5187457396046353,12
Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",651,1.5174825174825175,4
Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",434,1.5174825174825175,3
Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2322,1.5166557805355976,13
Delhi Daredevils,Maharashtra Cricket Association Stadium,572,1.5132275132275133,3
Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",357,1.5063291139240507,2
Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",318,1.5,2
Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",365,1.4959016393442623,2
Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2945,1.4941653982749874,16
Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",424,1.4929577464788732,3
Royal Challengers Bangalore,M.Chinnaswamy Stadium,2593,1.4893739230327399,15
Chennai Super Kings,SuperSport Park,537,1.4875346260387812,3
