Batter,Runs,Matches,Deliveries,Strike_Rate,Avg_Per_Match
V Kohli,8014,244,6236,128.51,32.84
S Dhawan,6769,221,5483,123.45,30.63
RG Sharma,6630,251,5183,127.92,26.41
DA Warner,6567,184,4849,135.43,35.69
SK Raina,5536,200,4177,132.54,27.68
MS Dhoni,5243,228,3947,132.84,23.0
AB de Villiers,5181,170,3487,148.58,30.48
CH Gayle,4997,141,3516,142.12,35.44
RV Uthappa,4954,197,3927,126.15,25.15
KD Karthik,4843,233,3687,131.35,20.79
KL Rahul,4689,122,3578,131.05,38.43
AM Rahane,4642,171,3858,120.32,27.15
F du Plessis,4571,138,3435,133.07,33.12
SV Samson,4419,162,3270,135.14,27.28
AT Rayudu,4348,185,3490,124.58,23.5
G Gambhir,4217,151,3524,119.67,27.93
SR Watson,3880,141,2892,134.16,27.52
MK Pandey,3859,158,3288,117.37,24.42
SA Yadav,3594,135,2522,142.51,26.62
JC Buttler,3583,106,2519,142.24,33.8
KA Pollard,3437,168,2447,140.46,20.46
RR Pant,3297,110,2296,143.6,29.97
YK Pathan,3222,153,2334,138.05,21.06
Shubman Gill,3216,99,2432,132.24,32.48
Q de Kock,3160,107,2410,131.12,29.53
SS Iyer,3131,114,2545,123.03,27.46
RA Jadeja,2959,180,2378,124.43,16.44
WP Saha,2934,143,2368,123.9,20.52
DA Miller,2924,123,2171,134.68,23.77
BB McCullum,2882,109,2272,126.85,26.44
PA Patel,2848,136,2442,116.63,20.94
GJ Maxwell,2772,128,1842,150.49,21.66
Yuvraj Singh,2754,126,2207,124.78,21.86
V Sehwag,2728,104,1833,148.83,26.23
MA Agarwal,2669,121,2081,128.26,22.06
Ishan Kishan,2644,99,1991,132.8,26.71
N Rana,2636,101,2015,130.82,26.1
M Vijay,2619,105,2208,118.61,24.94
HH Pandya,2534,128,1814,139.69,19.8
SPD Smith,2495,93,1999,124.81,26.83
SE Marsh,2489,69,1913,130.11,36.07
AD Russell,2488,104,1515,164.22,23.92
JH Kallis,2427,95,2291,105.94,25.55
DR Smith,2385,88,1803,132.28,27.1
RD Gaikwad,2380,65,1781,133.63,36.62
SR Tendulkar,2334,78,2044,114.19,29.92
RA Tripathi,2236,93,1650,135.52,24.04
R Dravid,2174,82,1918,113.35,26.51
KS Williamson,2132,76,1734,122.95,28.05
AJ Finch,2092,90,1696,123.35,23.24
AC Gilchrist,2069,80,1555,133.05,25.86
JP Duminy,2029,75,1680,120.77,27.05
MEK Hussey,1977,58,1648,119.96,34.09
PP Shaw,1892,79,1321,143.22,23.95
MP Stoinis,1866,88,1366,136.6,21.2
DPMD Jayawardene,1808,78,1522,118.79,23.18
N Pooran,1769,72,1143,154.77,24.57
Mandeep Singh,1706,97,1418,120.31,17.59
MK Tiwary,1695,83,1489,113.83,20.42
KC Sangakkara,1687,68,1424,118.47,24.81
AR Patel,1653,112,1318,125.42,14.76
KH Pandya,1647,107,1287,127.97,15.39
YBK Jaiswal,1607,52,1095,146.76,30.9
JM Bairstow,1589,50,1132,140.37,31.78
DJ Bravo,1560,110,1247,125.1,14.18
D Padikkal,1559,64,1323,117.84,24.36
NV Ojha,1554,94,1360,114.26,16.53
SP Narine,1534,106,984,155.89,14.47
S Dube,1502,61,1077,139.46,24.62
KK Nair,1496,68,1192,125.5,22.0
SS Tiwary,1494,73,1291,115.72,20.47
DJ Hooda,1466,96,1170,125.3,15.27
S Badrinath,1441,65,1245,115.74,22.17
EJG Morgan,1406,74,1181,119.05,19.0
BJ Hodge,1400,63,1153,121.42,22.22
Abhishek Sharma,1377,61,925,148.86,22.57
SC Ganguly,1349,56,1326,101.73,24.09
CA Lynn,1329,42,974,136.45,31.64
VR Iyer,1326,49,1000,132.6,27.06
DJ Hussey,1322,61,1101,120.07,21.67
SO Hetmyer,1243,65,854,145.55,19.12
KM Jadhav,1208,81,1012,119.37,14.91
R Parag,1173,58,909,129.04,20.22
MM Ali,1162,57,849,136.87,20.39
Tilak Varma,1156,38,830,139.28,30.42
