Venue,Matches,Total_Runs,Avg_Runs_Per_Delivery,Total_Wickets
Eden Gardens,77,23658,1.315,878
Wankhede Stadium,73,23407,1.331,894
M Chinnaswamy Stadium,65,20263,1.359,743
Feroz Shah Kotla,60,18421,1.321,697
"Wankhede Stadium, Mumbai",45,15587,1.428,528
"MA Chidambaram Stadium, Chepauk",48,15277,1.299,566
"Rajiv Gandhi International Stadium, Uppal",49,14888,1.283,565
Dubai International Cricket Stadium,46,14450,1.287,545
Sawai Mansingh Stadium,47,14264,1.279,518
"Punjab Cricket Association Stadium, Mohali",35,10987,1.329,411
"MA Chidambaram Stadium, Chepauk, Chennai",28,8866,1.301,357
Sheikh Zayed Stadium,29,8857,1.279,329
Sharjah Cricket Stadium,28,8583,1.286,322
"Narendra Modi Stadium, Ahmedabad",24,8150,1.44,284
Maharashtra Cricket Association Stadium,22,7007,1.324,259
"Dr DY Patil Sports Academy, Mumbai",20,6573,1.34,254
"Arun Jaitley Stadium, Delhi",16,6091,1.537,193
"Eden Gardens, Kolkata",16,6085,1.577,193
"Brabourne Stadium, Mumbai",17,5824,1.436,211
"M Chinnaswamy Stadium, Bengaluru",14,5322,1.555,179
M.Chinnaswamy Stadium,15,5127,1.467,179
Dr DY Patil Sports Academy,17,4810,1.205,216
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,4743,1.51,144
Rajiv Gandhi International Stadium,15,4631,1.283,190
Arun Jaitley Stadium,14,4543,1.354,171
Subrata Roy Sahara Stadium,16,4528,1.184,183
Kingsmead,15,4353,1.195,201
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,4294,1.308,176
"Maharashtra Cricket Association Stadium, Pune",13,4108,1.317,175
"Sardar Patel Stadium, Motera",12,3767,1.302,145
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,3746,1.233,163
SuperSport Park,12,3653,1.275,133
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,3545,1.377,115
Brabourne Stadium,10,3481,1.41,120
Punjab Cricket Association IS Bindra Stadium,10,3476,1.431,104
"Sawai Mansingh Stadium, Jaipur",10,3421,1.443,105
Saurashtra Cricket Association Stadium,10,3333,1.4,109
Himachal Pradesh Cricket Association Stadium,9,2897,1.342,104
Holkar Cricket Stadium,9,2872,1.462,92
MA Chidambaram Stadium,9,2563,1.203,100
"Zayed Cricket Stadium, Abu Dhabi",8,2475,1.321,93
New Wanderers Stadium,8,2292,1.181,92
Barabati Stadium,7,2278,1.344,80
JSCA International Stadium Complex,7,2056,1.23,81
St George's Park,7,2033,1.212,77
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,1856,1.538,60
Newlands,7,1797,1.168,93
Shaheed Veer Narayan Singh International Stadium,6,1741,1.217,60
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,1675,1.356,79
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,1515,1.543,56
Nehru Stadium,5,1363,1.18,62
Green Park,4,1298,1.409,49
"Barsapara Cricket Stadium, Guwahati",3,1019,1.379,39
De Beers Diamond Oval,3,897,1.236,39
"Vidarbha Cricket Association Stadium, Jamtha",3,882,1.189,48
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,800,1.6,28
Buffalo Park,3,799,1.117,38
OUTsurance Oval,2,529,1.058,25
